name	sample1	sample2	sample3	sample4	sample5	sample6	avgCONTROL	avgTRT
ADCY7	14.9391	13.4786	13.777	14.5273	14.3432	14.3198	14.0649	14.396766666666666
ADD1	58.8104	62.1805	63.004	62.6284	61.932	61.4688	61.331633333333336	62.00973333333334
ADD2	19.5876	19.7008	18.4722	31.1806	29.0295	27.0159	19.253533333333333	29.075333333333333
ADD3	16.6048	15.4702	13.1844	16.6965	16.2045	16.2046	15.086466666666666	16.368533333333332
ADGRD1	2.24836	1.95338	2.11669	1.65488	1.71132	1.20491	2.1061433333333333	1.5237033333333334
ADGRE2	3.05848	3.22622	3.72455	3.80903	4.36105	4.64911	3.3364166666666666	4.273063333333333
ADGRE5	16.7599	19.1673	17.4127	19.2182	20.6445	22.0347	17.779966666666667	20.63246666666667
ADGRL1	6.16057	6.51744	6.45409	6.40011	6.70755	7.5806	6.377366666666667	6.896086666666666
ADGRV1	4.54897	4.88375	4.58366	4.91545	5.6763	5.13213	4.672126666666666	5.241293333333334
ADH5	89.4269	82.5374	77.0324	88.2983	88.5469	85.3144	82.9989	87.38653333333332
ADI1	42.0407	40.6959	40.6696	51.1433	48.4217	43.323	41.135400000000004	47.629333333333335
ADIPOR1	84.2716	84.2939	85.2324	81.9164	80.2518	79.8559	84.59929999999999	80.67470000000002
ADIPOR2	28.8052	27.1531	29.205	37.3729	36.1697	36.2128	28.387766666666664	36.58513333333333
ADK	57.8517	54.3334	47.1145	51.9473	50.1844	49.1587	53.099866666666664	50.43013333333334
ADM2	5.53219	6.45672	5.30774	1.03613	1.16096	1.28064	5.76555	1.1592433333333334
ADM5	2.51521	2.62571	2.94476	3.18384	3.28013	3.5046	2.6952266666666667	3.3228566666666666
ADNP	25.4828	24.785	26.3758	26.0309	26.8781	25.9615	25.547866666666668	26.290166666666664
ADNP2	12.9998	13.5743	13.7322	17.4593	17.1119	16.484	13.435433333333334	17.0184
ADO	13.6419	14.125	14.7768	14.3977	13.6778	15.2046	14.181233333333333	14.426699999999999
ADORA2B	6.11143	6.10304	6.89542	5.84417	6.27829	6.55575	6.369963333333334	6.22607
ADPGK	22.4416	22.4762	20.4362	22.1031	22.5946	21.6537	21.784666666666666	22.11713333333333
ADPRHL2	21.2752	21.3844	21.9733	22.6403	20.8855	19.9776	21.544299999999996	21.1678
ADPRM	2.72022	5.20604	3.78292	2.89181	2.99603	2.10558	3.90306	2.6644733333333335
ADRBK1	60.8271	63.8828	60.1515	46.9634	46.8318	46.2623	61.620466666666665	46.685833333333335
ADRBK2	3.39482	3.21102	3.76284	2.15352	2.27067	2.63045	3.4562266666666672	2.3515466666666662
ADRM1	121.04	131.934	128.627	145.458	131.399	129.472	127.20033333333333	135.44299999999998
ADSL	98.3312	95.5229	90.773	96.9698	94.429	90.8735	94.87570000000001	94.09076666666665
ADSS	27.8092	25.6088	26.128	22.5802	21.1547	23.0441	26.51533333333333	22.259666666666664
ADSSL1	2.56852	3.89981	3.32971	3.81272	3.82511	3.51484	3.2660133333333334	3.717556666666667
ADTRP	9.65657	10.016	9.61373	4.59241	4.54534	5.09869	9.7621	4.745480000000001
AEBP2	4.18417	3.82352	3.83699	4.3458	4.46504	4.23809	3.9482266666666668	4.349643333333333
AEN	18.4121	17.5846	18.8581	18.5397	18.5572	18.0669	18.28493333333333	18.387933333333336
AES	225.566	246.867	228.61	225.046	211.934	221.35	233.681	219.44333333333336
AFAP1-AS1	6.94135	7.3824	8.94468	9.55605	9.02943	8.8532	7.756143333333334	9.146226666666665
AFF1	12.6271	11.8227	12.8551	16.7377	16.2307	16.096800000000002	12.434966666666668	16.35506666666667
AFF4	9.76644	8.65582	10.0416	10.5246	11.7632	11.2912	9.487953333333335	11.192999999999998
AFG3L1P	10.7201	11.2766	11.8967	13.039	13.135	12.279	11.2978	12.817666666666668
AFG3L2	61.6129	64.3234	59.9437	66.7291	67.2634	65.1875	61.96000000000001	66.39333333333333
AFMID	16.9092	18.3258	17.9735	21.1292	20.264	20.8287	17.736166666666666	20.740633333333335
AFTPH	8.41523	7.93844	8.81956	8.0616	8.427	8.75657	8.391076666666667	8.415056666666667
AGA	15.7436	16.348	14.475	6.20676	6.45456	6.24301	15.5222	6.301443333333334
AGAP1	6.87119	6.5064	7.06232	5.63866	5.93497	6.01428	6.813303333333334	5.862636666666667
AGAP11	4.48346	4.23195	4.82576	2.87388	2.86964	2.81353	4.513723333333334	2.85235
AGAP3	34.6417	40.9671	39.464	48.7737	48.2253	51.4776	38.3576	49.4922
AGAP4	4.75945	4.40836	4.87155	4.82638	5.2687	5.70321	4.679786666666666	5.266096666666667
AGAP5	3.91005	3.6483	5.19587	2.61272	3.41976	3.33585	4.251406666666667	3.1227766666666668
AGAP6	14.1624	14.0779	13.8434	19.0396	18.616	18.3795	14.0279	18.678366666666665
AGBL5	37.3244	40.1075	37.9423	22.6458	22.8166	23.3214	38.45806666666667	22.927933333333332
AGER	7.62033	7.86998	7.5366	5.5948	6.38206	7.08397	7.675636666666667	6.35361
AGFG1	9.0863	8.55209	9.22728	10.7251	10.7144	11.1036	8.955223333333334	10.847699999999998
AGFG2	3.84017	4.12661	3.61913	4.32231	3.97095	4.41649	3.86197	4.236583333333333
AGGF1	11.3373	10.2734	10.0013	8.30059	8.62084	9.34365	10.537333333333335	8.755026666666668
AGK	34.3083	33.8153	31.1667	36.7697	36.3027	33.05	33.09676666666667	35.37413333333333
AGL	7.5878	6.58415	7.65916	9.27362	9.28784	9.64942	7.277036666666667	9.403626666666666
AGO1	9.5849	8.99152	9.32135	11.5062	12.9449	12.6949	9.299256666666667	12.382
AGO2	10.0341	9.53025	9.48638	11.2594	10.9127	10.9222	9.683576666666667	11.031433333333334
AGO3	5.3027	4.93257	5.53966	5.77882	5.98787	5.96297	5.25831	5.909886666666668
AGO4	6.51905	7.02021	7.72876	4.22028	4.50955	5.06637	7.08934	4.598733333333333
AGPAT1	70.1101	71.7881	69.024	80.8002	82.5702	83.8888	70.3074	82.41973333333334
AGPAT2	40.4153	45.2872	48.9345	49.0787	43.4383	46.1217	44.879	46.2129
AGPAT3	24.5123	26.0009	24.9642	23.5671	25.7973	26.8184	25.159133333333333	25.394266666666667
AGPAT4	2.33146	2.31147	2.50774	3.41591	3.33247	3.55951	2.3835566666666668	3.435963333333333
AGPAT5	10.7005	9.03429	10.361	8.14012	8.09749	8.6353	10.031930000000001	8.29097
AGPAT6	15.2596	14.8323	15.5811	16.9073	16.978	16.6879	15.224333333333334	16.857733333333332
AGPAT9	13.3434	12.4831	12.7444	7.32262	7.78182	7.61178	12.856966666666667	7.572073333333333
AGPS	23.8075	21.5391	21.6015	16.8817	16.4622	16.0941	22.316033333333337	16.479333333333333
AGRN	18.1525	19.2316	20.7134	33.6318	33.0365	32.2094	19.365833333333335	32.95923333333333
AGTPBP1	3.08293	3.54421	3.29357	3.67959	3.85302	4.01734	3.306903333333333	3.849983333333333
AGTRAP	36.3559	38.177	35.9065	39.6151	40.6496	39.8314	36.81313333333333	40.03203333333334
AHCTF1	18.8895	17.9067	19.8312	22.9661	22.4989	22.2021	18.875799999999998	22.5557
AHCY	185.955	187.022	172.13	143.176	145.011	137.152	181.70233333333331	141.77966666666666
AHCYL1	52.1848	51.4199	51.4803	46.5329	48.9307	49.6019	51.695	48.35516666666666
AHCYL2	2.83092	2.65606	3.30535	3.37461	3.38203	3.33647	2.9307766666666666	3.3643699999999996
AHDC1	4.84364	4.97143	5.5669	7.79249	7.6442	9.31928	5.127323333333333	8.25199
AHI1	9.12158	7.35304	9.25754	11.6364	11.5491	10.6124	8.577386666666667	11.265966666666666
AHNAK	13.1955	14.1182	18.4146	24.6384	25.8035	26.9254	15.242766666666666	25.7891
AHSA1	56.7234	54.9095	50.9011	71.1042	71.0029	71.7229	54.178	71.27666666666666
AHSA2	16.4007	17.5698	18.1101	16.3929	16.4753	16.4612	17.360200000000003	16.443133333333336
AHSP	19.0687	16.1263	14.6121	13.8283	10.8523	10.3808	16.602366666666665	11.687133333333334
AIDA	44.8617	44.8456	41.9585	42.6752	40.5947	42.4066	43.8886	41.89216666666667
AIF1	7.72079	10.1371	7.18975	12.1352	10.392	8.12283	8.349213333333333	10.216676666666666
AIF1L	1.36364	2.07931	1.96918	1.29518	1.41387	1.845	1.8040433333333332	1.5180166666666668
AIFM1	84.0283	88.1707	83.3795	55.6364	55.8883	59.6284	85.19283333333334	57.05103333333333
AIFM2	8.5308	8.86408	8.51865	7.86015	7.66481	8.43779	8.637843333333334	7.987583333333333
AIG1	37.4689	38.4756	36.8325	32.2697	32.4724	31.2547	37.592333333333336	31.99893333333333
AIM1L	1.51932	1.56791	1.51285	0.551739	0.600793	0.466763	1.53336	0.5397649999999999
AIMP1	36.1827	34.8748	32.4781	30.9133	28.421	27.1411	34.51186666666667	28.825133333333337
AIMP2	28.3654	30.1305	27.635	28.8898	26.2736	26.2921	28.710300000000004	27.151833333333332
AIP	43.0378	44.6432	43.4222	44.3928	40.8582	42.4632	43.70106666666666	42.571400000000004
AJUBA	1.26261	1.55019	1.5181	1.18653	1.20163	1.1505	1.4436333333333333	1.1795533333333335
AK1	12.4394	11.858	11.5994	15.0467	14.6812	14.9296	11.9656	14.885833333333332
AK2	170.852	166.152	160.247	169.835	164.803	172.635	165.75033333333334	169.091
AK3	20.3827	19.3744	18.1932	19.6707	19.769	20.9424	19.316766666666666	20.127366666666667
AK4	7.40083	7.82853	7.79424	8.92396	9.093	9.14781	7.674533333333334	9.054923333333333
AK6	83.1003	79.616	72.8034	83.3739	75.0392	74.2976	78.50656666666667	77.57023333333332
AKAP1	13.7919	12.9361	13.839	14.1787	14.633	14.6183	13.522333333333334	14.476666666666667
AKAP10	6.07323	5.68474	5.93168	6.30641	6.00523	5.58672	5.89655	5.96612
AKAP11	3.8074	3.21971	3.92079	4.03599	4.55682	4.27656	3.6493	4.28979
AKAP7	1.58093	1.19072	1.18145	0.765691	0.973573	1.11858	1.3177	0.9526146666666667
AKAP8	18.622	19.8714	19.3995	20.5113	19.451	18.8012	19.297633333333334	19.587833333333332
AKAP8L	49.3243	56.0063	51.714	67.9776	63.5156	62.1679	52.3482	64.5537
AKAP9	6.92392	6.11586	7.39098	6.99199	7.30401	6.79127	6.810253333333333	7.02909
AKIP1	26.9828	27.7657	23.1411	21.2694	21.6328	18.3741	25.9632	20.425433333333334
AKIRIN1	67.7248	71.5308	70.6979	89.1557	86.8777	87.507	69.98450000000001	87.84679999999999
AKIRIN2	28.3761	29.5185	25.9711	31.299	30.808	29.0634	27.955233333333336	30.390133333333335
AKNA	17.574	18.2715	16.1948	2.34424	2.45526	2.84795	17.346766666666667	2.54915
AKR1A1	80.9546	81.9991	81.1641	48.3684	50.7468	50.9422	81.37259999999999	50.019133333333336
AKR1B1	5.6527	5.06686	5.68234	3.50265	4.27589	2.81643	5.467300000000001	3.5316566666666667
AKR1C1	71.2511	74.0781	78.3796	100.619	94.6217	88.3017	74.5696	94.51413333333333
AKR1C2	10.4382	10.5765	12.7383	16.205	14.5531	12.9633	11.251	14.5738
AKR1C3	4.56776	6.36089	5.02553	23.2111	24.8286	19.9927	5.31806	22.677466666666664
AKR1E2	5.1143	5.15492	4.32506	4.00816	3.79609	4.18014	4.86476	3.9947966666666663
AKR7A2	31.8819	35.3375	34.0485	29.9974	28.1678	29.7573	33.755966666666666	29.3075
AKR7A3	1.43692	1.54005	0.989082	1.87549	1.59261	1.35019	1.3220173333333332	1.6060966666666667
AKR7L	1.15416	1.58525	1.29975	1.53027	1.44361	1.62551	1.3463866666666668	1.53313
AKT1	59.4437	66.8674	62.55	57.4359	61.9975	61.9223	62.953700000000005	60.4519
